,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC47A2,43.8451632484779,2.47527448229408,0.558743249063893,4.43007496992779,9.42003344035828e-06,5.03142209598347e-05
SLC51B,16.0776005080619,-2.41613797427451,0.368629119539968,-6.55438717725215,5.58708365827836e-11,8.76481152271823e-10
SLC5A1,41.7908779150412,3.89810415253242,0.74696516680175,5.21858893263092,1.80291405198027e-07,1.40424863599502e-06
SLC5A4-AS1,2.87926414054658,2.62382641546224,0.837158652997057,3.13420449764074,0.00172320718501852,0.00504640542124553
SLC5A5,46.6371592808412,2.96842143877905,0.552236066254433,5.37527629970369,7.64653333586182e-08,6.42651187873813e-07
SLC6A10P,13.8885002439211,2.52636001605402,1.02638663814171,2.46141163784833,0.0138391482662381,0.0306221504399874
SLC6A17,29.4922699454267,2.01543380084647,0.474765693093861,4.24511254743932,2.1848372948669e-05,0.000106357496209332
SLC6A19,3.50989083903164,3.17449424095917,1.18105351575951,2.68784961782,0.0071913775453047,0.0174197074149578
SLC6A2,111.066772535854,2.14811138987109,0.600938864163304,3.57459222222537,0.000350774160323603,0.0012484343131094
SLC7A3,9.9889499959112,-2.95361095945531,0.698909102078149,-4.22603018142558,2.3785010407829e-05,0.000114803144386386
SLC8A1,660.349758369876,-2.56612470799372,0.309325213454421,-8.29587953512183,1.07784718416577e-16,4.54867904831024e-15
SLC8A1-AS1,19.3569117398,2.01144955857026,0.51925408443229,3.8737289101335,0.000107182635846866,0.000438407987936011
SLC8A2,84.2449062914989,-2.21131933746673,0.452450730272934,-4.88742572286885,1.02163019775448e-06,6.75346847223164e-06
SLC8A3,12.5915465148868,-2.5824838037672,0.479323870931692,-5.38776380727183,7.13397180564437e-08,6.04657908139342e-07
SLCO1A2,106.95965429012,2.54745883457425,0.648937525393663,3.92558410461606,8.65195325107849e-05,0.000362712102488084
SLCO1B1,7.92693047844142,3.68661832137851,0.822760567697302,4.4807912120733,7.43668342601185e-06,4.0780508569815e-05
SLCO1B3,90.2583076402798,4.53134023782444,1.0380009127248,4.36544918436485,1.26861792667449e-05,6.56275477425318e-05
SLCO4C1,163.069022080662,2.68814768848936,0.556873081859797,4.82721786356007,1.38453632651194e-06,8.89034925539831e-06
SLCO6A1,19.1423244414194,2.88926428431968,0.677996298548844,4.26147501174231,2.03082064444651e-05,0.000100000347527559
SLIT2,397.642792045604,-2.83740640112509,0.429418407164441,-6.60755653177796,3.90715005518218e-11,6.33997930737821e-10
SLIT2-IT1,0.381225039541542,-2.60211736508115,1.12875739063792,-2.30529375635853,0.0211501269869462,0.0442164738045047
SLIT3,2147.60116845833,-3.14479197039515,0.358493667818911,-8.77223854337004,1.75148858835924e-18,1.03955999156146e-16
SLITRK2,12.589782306813,-2.25604488955069,0.650536547626075,-3.4679756237884,0.000524394853819718,0.00178152999159628
SLITRK3,31.492575165132,-2.33969247269801,0.776764052622201,-3.01210189220224,0.00259445496484902,0.00720346608001484
SLMAP,3497.71410284919,-2.67734062264158,0.188506240001362,-14.2029283625955,8.78627125938914e-46,6.50125498053067e-42
SLURP1,32.5543220612551,3.89526448519067,0.629047784143458,6.19231890387253,5.9285447873328e-10,7.61144228971738e-09
SLX1A,2.44977158308391,2.00359612560769,0.563170554022071,3.55770753868137,0.000374105500690508,0.00131941434768476
SMC1B,137.367624487542,2.80104112301221,0.435203825156714,6.43615924562146,1.22534477196608e-10,1.79184474625185e-09
SMC2-AS1,14.0085071591815,-2.00702053564704,0.328697878309585,-6.1059735035975,1.02175958903932e-09,1.25726271383009e-08
SMCO2,35.0694330209171,2.02399459106583,0.351075424285398,5.76512752262737,8.15961206104552e-09,8.36228386570122e-08
